Wall time,Step,Value
1592927397.770523,1,89.08000183105469
1592927604.4451375,2,92.94000244140625
1592927813.6603062,3,94.9800033569336
1592928032.202852,4,95.83999633789062
1592928249.7382126,5,96.18000030517578
1592928466.9761078,6,96.9000015258789
1592928701.6077547,7,97.2699966430664
1592928906.8115723,8,97.37000274658203
1592929128.868747,9,97.4800033569336
1592929396.5684147,10,97.80000305175781
